iso3,country,region,subregion,capital,lat,lon,population_master,population_wb,population_year,gdp_usd,gdp_usd_year,gdp_per_capita_usd,gdp_per_capita_usd_year,life_expectancy,life_expectancy_year,population,population_source,as_of_utc
BES,Caribbean Netherlands,Americas,Caribbean,Kralendijk,12.18,-68.25,31980,,,,,,,,,31980.0,master,2026-05-23T05:48:00+00:00
BRB,Barbados,Americas,Caribbean,Bridgetown,13.16666666,-59.53333333,267800,282467.0,2024,7498050000.0,2024,26544.8707282621,2024,76.332,2024,282467.0,world_bank,2026-05-23T05:48:00+00:00
MAC,Macau,Asia,Eastern Asia,,22.16666666,113.55,685900,687000.0,2024,49467258923.3244,2024,72004.7437020733,2024,83.3317073170732,2024,687000.0,world_bank,2026-05-23T05:48:00+00:00
JOR,Jordan,Asia,Western Asia,Amman,31.0,36.0,11734000,11552876.0,2024,53352289577.4648,2024,4618.09592498567,2024,77.981,2024,11552876.0,world_bank,2026-05-23T05:48:00+00:00
LAO,Laos,Asia,South-Eastern Asia,Vientiane,18.0,105.0,7647000,7769819.0,2024,16502933121.3379,2024,2123.97909415109,2024,69.225,2024,7769819.0,world_bank,2026-05-23T05:48:00+00:00
TGO,Togo,Africa,Western Africa,Lomé,8.0,1.16666666,8095498,9515236.0,2024,10651180146.531,2024,1119.38160509429,2024,62.935,2024,9515236.0,world_bank,2026-05-23T05:48:00+00:00
MAR,Morocco,Africa,Northern Africa,Rabat,32.0,-5.0,36828330,38081173.0,2024,160610994054.734,2024,4153.1943359375,2024,75.493,2024,38081173.0,world_bank,2026-05-23T05:48:00+00:00
PRI,Puerto Rico,Americas,Caribbean,San Juan,18.25,-66.5,3203295,3203295.0,2024,126029527033.705,2024,39343.7154660139,2024,81.902,2024,3203295.0,world_bank,2026-05-23T05:48:00+00:00
GUF,French Guiana,Americas,South America,Cayenne,4.0,-53.0,292354,,,,,,,,,292354.0,master,2026-05-23T05:48:00+00:00
SPM,Saint Pierre and Miquelon,Americas,North America,Saint-Pierre,46.83333333,-56.33333333,5819,,,,,,,,,5819.0,master,2026-05-23T05:48:00+00:00
MAF,Saint Martin,Americas,Caribbean,Marigot,18.0708,-63.0501,31496,26129.0,2024,649206262.847519,2021,21668.3776525323,2021,80.438,2024,26129.0,world_bank,2026-05-23T05:48:00+00:00
EST,Estonia,Europe,Northern Europe,Tallinn,59.0,26.0,1369995,1372341.0,2024,43130419829.35,2024,31428.3547816104,2024,79.2951219512195,2024,1372341.0,world_bank,2026-05-23T05:48:00+00:00
IDN,Indonesia,Asia,South-Eastern Asia,Jakarta,-5.0,120.0,284438782,283487931.0,2024,1396300098190.97,2024,4925.43048751861,2024,71.288,2024,283487931.0,world_bank,2026-05-23T05:48:00+00:00
SYC,Seychelles,Africa,Eastern Africa,Victoria,-4.58333333,55.66666666,122729,121354.0,2024,2167239562.46013,2024,17858.8226383978,2024,76.2951219512195,2024,121354.0,world_bank,2026-05-23T05:48:00+00:00
MLI,Mali,Africa,Western Africa,Bamako,17.0,-4.0,22395489,24478595.0,2024,26794747239.8805,2024,1094.61949265799,2024,60.675,2024,24478595.0,world_bank,2026-05-23T05:48:00+00:00
TLS,Timor-Leste,Asia,South-Eastern Asia,Dili,-8.83333333,125.91666666,1391221,1400638.0,2024,1865608515.41321,2024,1331.9705130185,2024,67.904,2024,1400638.0,world_bank,2026-05-23T05:48:00+00:00
BRA,Brazil,Americas,South America,Brasília,-10.0,-55.0,213421037,211998573.0,2024,2185821648943.86,2024,10310.5488778166,2024,76.023,2024,211998573.0,world_bank,2026-05-23T05:48:00+00:00
GHA,Ghana,Africa,Western Africa,Accra,8.0,-2.0,33742380,34427414.0,2024,82308110386.4641,2024,2390.77237652715,2024,65.695,2024,34427414.0,world_bank,2026-05-23T05:48:00+00:00
KEN,Kenya,Africa,Eastern Africa,Nairobi,1.0,38.0,53330978,56432944.0,2024,120339557905.932,2024,2132.43452097647,2024,63.834,2024,56432944.0,world_bank,2026-05-23T05:48:00+00:00
ISL,Iceland,Europe,Northern Europe,Reykjavik,65.0,-18.0,391810,386506.0,2024,33255181468.9382,2024,86040.5309851288,2024,82.809756097561,2024,386506.0,world_bank,2026-05-23T05:48:00+00:00
MDG,Madagascar,Africa,Eastern Africa,Antananarivo,-20.0,47.0,31727042,31964956.0,2024,17420501490.1231,2024,544.987501003384,2024,63.835,2024,31964956.0,world_bank,2026-05-23T05:48:00+00:00
BGD,Bangladesh,Asia,Southern Asia,Dhaka,24.0,90.0,169828911,173562364.0,2024,450119432068.852,2024,2593.41611680774,2024,74.93,2024,173562364.0,world_bank,2026-05-23T05:48:00+00:00
COD,DR Congo,Africa,Middle Africa,Kinshasa,0.0,25.0,112832000,109276265.0,2024,70962185790.7094,2024,649.383338556725,2024,62.074,2024,109276265.0,world_bank,2026-05-23T05:48:00+00:00
ZWE,Zimbabwe,Africa,Southern Africa,Harare,-20.0,30.0,17073087,16634373.0,2024,41539411516.4448,2024,2497.20332208763,2024,63.064,2024,16634373.0,world_bank,2026-05-23T05:48:00+00:00
PYF,French Polynesia,Oceania,Polynesia,Papeetē,-17.6797,-149.4068,279500,281807.0,2024,6323716355.05009,2024,22439.8838746025,2024,84.192,2024,281807.0,world_bank,2026-05-23T05:48:00+00:00
TUR,Turkey,Asia,Western Asia,Ankara,39.0,35.0,85664944,85518661.0,2024,1359123768774.12,2024,15892.7157287241,2024,77.421,2024,85518661.0,world_bank,2026-05-23T05:48:00+00:00
CPV,Cape Verde,Africa,Western Africa,Praia,16.5388,-23.0418,491233,524877.0,2024,2725414150.72735,2024,5192.48157325878,2024,76.224,2024,524877.0,world_bank,2026-05-23T05:48:00+00:00
DOM,Dominican Republic,Americas,Caribbean,Santo Domingo,19.0,-70.66666666,10771504,11427557.0,2024,124282245638.568,2024,10875.6618443092,2024,73.868,2024,11427557.0,world_bank,2026-05-23T05:48:00+00:00
BHS,Bahamas,Americas,Caribbean,Nassau,25.0343,-77.3963,398165,401283.0,2024,15832800000.0,2024,39455.4466548546,2024,74.71,2024,401283.0,world_bank,2026-05-23T05:48:00+00:00
DEU,Germany,Europe,Western Europe,Berlin,51.0,9.0,83491249,83516593.0,2024,4685592577804.69,2024,56103.7323182554,2024,80.7926829268293,2024,83516593.0,world_bank,2026-05-23T05:48:00+00:00
SUR,Suriname,Americas,South America,Paramaribo,4.0,-56.0,616500,634431.0,2024,4416775112.09627,2024,6961.78955961526,2024,73.757,2024,634431.0,world_bank,2026-05-23T05:48:00+00:00
TON,Tonga,Oceania,Polynesia,Nuku'alofa,-20.0,-175.0,100179,104175.0,2024,591139749.44287,2023,5651.59373063157,2023,73.07,2024,104175.0,world_bank,2026-05-23T05:48:00+00:00
IOT,British Indian Ocean Territory,Africa,Eastern Africa,Diego Garcia,-6.0,71.5,0,,,,,,,,,0.0,master,2026-05-23T05:48:00+00:00
LCA,Saint Lucia,Americas,Caribbean,Castries,13.88333333,-60.96666666,184100,179744.0,2024,2549062962.96296,2024,14181.6303351598,2024,72.846,2024,179744.0,world_bank,2026-05-23T05:48:00+00:00
IRL,Ireland,Europe,Northern Europe,Dublin,53.0,-8.0,5458600,5395790.0,2024,609157459747.205,2024,112894.953240805,2024,83.009756097561,2024,5395790.0,world_bank,2026-05-23T05:48:00+00:00
VAT,Vatican City,Europe,Southern Europe,Vatican City,41.9,12.45,882,,,,,,,,,882.0,master,2026-05-23T05:48:00+00:00
COL,Colombia,Americas,South America,Bogotá,4.0,-72.0,53057212,52886363.0,2024,418818154879.271,2024,7919.20886825345,2024,77.913,2024,52886363.0,world_bank,2026-05-23T05:48:00+00:00
PRT,Portugal,Europe,Southern Europe,Lisbon,39.5,-8.0,10749635,10694681.0,2024,313271185085.102,2024,29292.242104753,2024,82.3829268292683,2024,10694681.0,world_bank,2026-05-23T05:48:00+00:00
